Year;Country;Region;Crop_Type;Average_Temperature_C;Total_Precipitation_mm;CO2_Emissions_MT;Crop_Yield_MT_per_HA;Extreme_Weather_Events;Irrigation_Access_%;Pesticide_Use_KG_per_HA;Fertilizer_Use_KG_per_HA;Soil_Health_Index;Adaptation_Strategies;Economic_Impact_Million_USD
2014;Australia;Western Australia;Barley;11.97;925.85;18.3;4.104;3;57.32;7.4;55.64;30.69;No Adaptation;732.34
2018;China;South;Soybeans;-3.26;2404.68;28.73;657;0;92.93;32.57;33.52;94.5;Drought-resistant Crops;265.15
2014;Nigeria;South East;Fruits;27.59;1314.12;25.65;1.1520000000000001;4;66.76;33.03;63.98;65.8;Crop Rotation;240.63
2014;Australia;Queensland;Corn;16.2;2682.47;3.88;3.98;6;74.93;15.43;32.79;78.83;Water Management;871.41
2024;China;Central;Rice;34.18;2247.4;27.31;3.33;7;21.7;27.31;99.55;69.96;Drought-resistant Crops;668.04
2016;Russia;Siberian;Fruits;27.23;481.89;2.87;2.403;10;79.43;5.38;17.79;34.15;No Adaptation;988.55
2018;USA;Northeast;Barley;26.81;1496.37;24.25;1.2240000000000002;2;47.67;2.4;40.19;54.11;No Adaptation;511.51
2022;Nigeria;North Central;Rice;22.94;658.01;17.28;2.547;5;88.58;17.01;64.93;67.19;No Adaptation;917.35
2016;Nigeria;South West;Coffee;1.03;884.03;6.75;1.4;0;87.34;20.59;62.53;99.45;Drought-resistant Crops;642.22
2022;Australia;Queensland;Barley;31.16;998.03;21.35;1.305;3;86.93;23.38;20.89;42.06;Water Management;229.2
2014;Nigeria;South West;Barley;28.7;1342.69;1.94;0.84;5;95.15;0.26;78.99;48.67;Organic Farming;298.98
2018;Nigeria;North West;Barley;17.25;2237.11;7.82;3.81;0;29.4;44.58;78.53;31.13;No Adaptation;841.95
2014;Nigeria;South East;Soybeans;9.78;2308.31;28.63;1.755;0;99.05;48.27;0.83;64.62;Water Management;543.49
2024;USA;Northeast;Coffee;5.11;974.91;14.66;1.54;0;14.41;47.89;66.05;39.63;Crop Rotation;280.27
2016;Brazil;North;Wheat;12.62;2892.79;21.43;2.394;5;54.46;1.31;11.12;65.05;Organic Farming;276.01
2024;Nigeria;South East;Coffee;28.8;966.11;6.05;1.13;2;76.96;26.48;98.23;53.95;No Adaptation;234.91
2018;Nigeria;North West;Cotton;25.86;2566.62;11.6;0.86;7;30.32;34.18;32.91;68.53;Water Management;336.06
2024;USA;Midwest;Wheat;8.23;1855.61;11.92;2.09;7;72.26;39.98;67.24;82.6;No Adaptation;941.83
2022;Brazil;Northeast;Barley;12.13;1417.15;26.27;2.718;10;54.98;22.31;41.46;34.58;Crop Rotation;875.43
2016;Nigeria;South East;Rice;30.51;731.17;22.29;873;8;44.38;23.44;68.18;33.23;Drought-resistant Crops;278.11
2018;Brazil;Northeast;Coffee;33.21;1670.4;29.62;2.007;4;52.3;20.22;82.83;37.69;Drought-resistant Crops;209.42
2016;China;East;Vegetables;32.18;658.12;5.14;3.4;4;49.87;22.03;88.26;98.69;Drought-resistant Crops;557.64
2014;China;North;Wheat;4.52;2955.14;6.26;0.87;4;27.88;3.24;69.46;66.79;Drought-resistant Crops;298.17
2022;Nigeria;South West;Coffee;-2.81;2656.82;11.71;0.79;1;50.58;10.72;84.7;97.68;Drought-resistant Crops;347.5
2022;Russia;Central;Rice;-4.56;1574.67;24.44;1.341;5;33.21;7.25;91.67;92.26;No Adaptation;267.62
2024;Brazil;South;Rice;20.92;599.62;19.83;2.727;9;52.75;30.19;50.24;32.31;Drought-resistant Crops;826.06
2020;Russia;Volga;Rice;-0.52;811.78;0.74;2.64;7;59.42;27.36;60.34;40.57;Water Management;917.83
2022;Russia;Siberian;Vegetables;28.95;2435.42;28.19;1.449;7;15.27;26.54;31.2;62.44;Drought-resistant Crops;406.46
2022;Australia;New South Wales;Wheat;13.62;2332.71;1.33;1.84;6;54.88;6.41;63.38;44.65;Organic Farming;247.83
2024;Nigeria;South East;Barley;13.41;2595.59;4.32;3.33;1;98.12;31.76;37.51;35.46;Crop Rotation;601.78
2018;Nigeria;South East;Wheat;25.19;2636.93;17.66;1.7189999999999999;10;26.12;43.01;3.9;36.89;Crop Rotation;859.1
2024;China;North;Vegetables;-3.81;790.4;23.82;1.575;4;78.21;8.87;53.43;32.34;Drought-resistant Crops;362.28
2016;Russia;Volga;Cotton;11.87;875.46;29.94;1.9800000000000002;6;74.34;23.99;11.5;72.94;Crop Rotation;883.25
2016;Brazil;North;Coffee;11.62;831.46;9.47;3.93;0;55.3;31.62;76.95;56.56;No Adaptation;1092.93
2014;China;Central;Cotton;1.36;2090.77;2.93;1.0;8;38.22;12.66;79.7;50.96;Water Management;303.7
2014;Brazil;Northeast;Soybeans;29.22;267.79;21.12;1.1880000000000002;5;19.43;44.06;71.56;39.76;Crop Rotation;578.88
2022;USA;Northeast;Vegetables;34.16;245.45;7.46;1.584;8;93.99;14.48;26.12;71.5;Organic Farming;671.32
2016;Brazil;Northeast;Soybeans;-4.0;1786.46;3.0;0.86;5;11.75;3.33;1.08;55.99;Organic Farming;401.6
2020;Australia;Queensland;Soybeans;11.71;367.7;27.0;4.149;9;75.25;46.97;31.2;93.47;Crop Rotation;1946.44
2024;Australia;Western Australia;Wheat;-1.42;2607.31;24.61;0.8190000000000001;10;53.64;19.96;12.53;69.96;No Adaptation;289.08
2016;USA;South;Barley;32.52;1602.68;6.28;2.82;8;77.01;33.48;84.67;89.28;Drought-resistant Crops;959.91
2016;Nigeria;North Central;Sugarcane;25.99;1371.02;9.03;3.57;8;99.17;48.25;35.47;53.02;Organic Farming;1103.52
2022;Australia;Queensland;Coffee;9.96;1275.17;26.47;1.026;9;84.61;6.72;30.92;43.71;Organic Farming;359.34
2020;Australia;New South Wales;Fruits;-0.33;2330.99;18.23;936;5;81.05;0.77;19.44;90.85;Drought-resistant Crops;95.47
2018;Nigeria;South West;Vegetables;20.82;2691.5;27.07;2.385;4;31.34;43.73;94.32;83.63;Organic Farming;1060.7
2022;USA;West;Rice;24.96;1288.54;23.97;1.8;5;25.89;25.61;89.3;35.73;Drought-resistant Crops;478.26
2024;USA;Midwest;Cotton;8.94;1150.19;7.48;2.01;9;34.13;44.23;42.72;38.38;Organic Farming;516.34
2016;USA;South;Corn;24.84;1494.64;9.98;2.88;2;39.58;12.1;27.29;67.76;Water Management;1168.87
2014;China;Central;Sugarcane;3.75;1682.38;23.95;1.233;8;33.73;17.5;88.6;82.35;Water Management;273.56
2022;Brazil;South;Rice;7.47;1471.88;13.33;0.9;9;54.32;46.66;20.13;57.19;No Adaptation;214.6
2024;Brazil;Northeast;Wheat;15.74;486.86;4.57;3.744;2;91.59;20.24;4.18;71.37;Water Management;1143.15
2014;Brazil;Southeast;Soybeans;8.31;317.45;25.21;1.431;3;55.45;1.93;93.82;44.69;Water Management;456.96
2014;Australia;Victoria;Wheat;10.5;1001.36;24.2;1.3860000000000001;4;43.88;7.48;9.42;80.16;Crop Rotation;397.44
2022;Nigeria;South East;Soybeans;17.7;1240.11;13.78;4.32;7;86.69;13.29;93.47;59.28;Crop Rotation;1422.07
2016;China;South;Cotton;27.08;2616.43;6.98;1.84;10;96.21;6.95;60.09;84.09;No Adaptation;191.53
2016;China;Central;Cotton;1.15;900.72;4.74;0.68;8;15.38;35.91;37.68;57.03;Drought-resistant Crops;150.3
2018;USA;South;Cotton;1.25;1923.38;29.92;936;9;10.17;23.05;0.52;46.25;Water Management;294.38
2014;Australia;New South Wales;Vegetables;28.07;2101.18;13.35;2.02;9;73.06;28.18;39.17;64.78;Organic Farming;454.89
2014;Brazil;North;Vegetables;11.53;1399.96;2.38;3.56;10;79.9;35.01;0.42;67.89;Crop Rotation;463.49
2024;USA;Northeast;Vegetables;22.63;1078.54;17.56;2.952;2;14.95;34.24;80.61;49.96;Water Management;1385.69
2020;Brazil;Northeast;Barley;4.77;377.32;23.24;1.1520000000000001;5;26.38;35.92;78.51;99.87;Crop Rotation;399.06
2022;Nigeria;South West;Cotton;19.06;982.35;24.78;4.068;1;44.15;11.77;52.9;88.14;Water Management;660.26
2020;China;Central;Fruits;0.75;2063.83;20.07;1.764;10;11.54;23.99;21.67;80.76;Water Management;355.36
2016;Australia;New South Wales;Wheat;25.68;2988.68;1.79;0.92;7;97.75;37.66;53.93;86.43;Organic Farming;100.35
2022;USA;South;Wheat;22.59;454.66;17.28;3.375;9;17.19;34.81;75.2;42.02;No Adaptation;544.37
2016;USA;Northeast;Soybeans;12.56;542.18;28.83;3.9330000000000003;1;38.02;18.07;27.95;96.73;No Adaptation;843.43
2020;USA;Midwest;Rice;28.96;2113.45;11.7;3.98;7;92.26;13.81;33.16;45.8;No Adaptation;1837.28
2018;Nigeria;South East;Sugarcane;9.02;1345.87;22.83;2.4480000000000004;6;75.85;33.56;79.59;93.75;Crop Rotation;423.53
2016;Brazil;North;Vegetables;23.35;518.94;15.2;2.826;0;68.39;27.51;40.25;51.51;Crop Rotation;416.85
2024;Nigeria;North Central;Rice;31.92;1150.89;11.25;1.29;3;54.95;37.75;14.93;50.93;No Adaptation;522.85
2014;Nigeria;South East;Sugarcane;1.52;1280.41;16.92;2.43;10;25.94;43.4;42.15;47.27;Crop Rotation;949.29
2018;Brazil;South;Vegetables;28.59;2579.43;5.59;2.75;8;31.89;47.82;20.55;48.39;Organic Farming;962.59
2014;Brazil;North;Rice;29.23;669.87;28.96;1.026;10;10.06;0.7;1.28;74.9;No Adaptation;416.82
2014;Australia;Queensland;Rice;13.17;2380.74;22.3;4.455;1;22.24;20.73;77.47;39.68;Crop Rotation;1542.77
2024;Nigeria;North Central;Wheat;1.92;2577.95;11.03;1.77;5;25.33;16.76;20.58;39.26;No Adaptation;464.8
2018;China;East;Sugarcane;26.74;1761.86;20.13;1.566;6;33.9;6.59;22.01;84.87;No Adaptation;364.98
2024;China;Central;Coffee;7.47;602.94;16.99;2.07;6;18.43;40.64;6.52;83.89;Water Management;534.71
2016;Australia;New South Wales;Sugarcane;-0.75;442.41;13.81;1.683;7;21.37;13.96;2.26;35.76;Crop Rotation;361.79
2016;Brazil;Southeast;Coffee;28.24;2593.9;23.88;2.9339999999999997;8;45.6;5.99;9.81;52.67;Crop Rotation;1130.74
2018;Nigeria;South West;Sugarcane;-1.22;644.93;7.64;2.56;4;28.36;3.08;98.96;83.39;No Adaptation;812.86
2022;USA;Northeast;Soybeans;11.08;311.46;26.64;2.898;10;89.29;25.45;81.88;74.98;Water Management;583.81
2014;Australia;Western Australia;Soybeans;7.15;907.91;29.77;2.511;5;15.95;49.5;57.29;98.19;Drought-resistant Crops;465.96
2016;Russia;Volga;Wheat;25.46;2474.02;5.46;1.91;5;38.95;48.49;3.52;68.21;No Adaptation;870.87
2016;Australia;Queensland;Rice;17.25;2045.5;5.8;3.83;2;85.66;45.06;59.25;86.16;Organic Farming;1455.04
2022;Australia;New South Wales;Corn;16.2;2806.85;6.35;3.05;9;43.43;39.26;58.07;77.4;Crop Rotation;381.76
2024;USA;West;Barley;33.15;2718.34;26.9;1.512;3;32.51;40.65;71.66;54.72;Water Management;570.53
2018;Nigeria;South West;Soybeans;16.67;1248.54;4.59;1.97;4;14.29;13.75;79.94;40.96;Water Management;711.25
2014;Russia;Central;Vegetables;2.87;1547.39;9.77;2.42;9;79.77;44.78;44.99;99.74;Crop Rotation;376.39
2024;Nigeria;South East;Cotton;7.79;269.37;18.54;1.7009999999999998;6;97.24;8.96;17.61;66.89;Drought-resistant Crops;666.85
2024;USA;Midwest;Vegetables;-1.01;1533.25;25.29;1.557;5;70.17;42.51;88.37;35.55;Crop Rotation;217.95
2024;Nigeria;South East;Soybeans;-1.73;2874.97;18.86;0.5670000000000001;3;69.12;35.41;75.8;49.08;Crop Rotation;86.43
2024;Australia;Western Australia;Sugarcane;14.46;1739.05;24.46;1.71;10;84.76;35.75;33.52;62.91;No Adaptation;376.51
2016;Russia;Siberian;Sugarcane;13.48;2518.41;28.38;2.556;2;78.78;29.24;86.47;67.82;Water Management;1015.06
2022;Nigeria;North Central;Rice;4.34;2484.36;0.52;1.32;5;92.1;45.44;99.2;84.99;Drought-resistant Crops;144.85
2020;China;Central;Sugarcane;-3.27;1596.69;23.69;522;10;26.53;23.51;64.68;46.75;Water Management;257.66
2016;Russia;Volga;Corn;22.16;852.26;12.31;3.1;6;78.85;28.19;75.07;73.89;Organic Farming;863.33
2016;Russia;Volga;Vegetables;-0.43;916.19;11.19;1.81;4;95.25;47.31;91.95;33.0;No Adaptation;498.0
2024;Nigeria;South West;Barley;4.0;1449.75;0.89;2.69;5;96.84;0.11;32.68;78.43;Crop Rotation;654.53
2024;USA;Midwest;Coffee;22.7;1091.1;9.21;1.13;9;50.83;46.67;55.01;40.65;Drought-resistant Crops;257.33
2024;Australia;Victoria;Cotton;-3.85;378.13;2.78;2.394;10;64.24;29.84;13.54;50.01;Water Management;465.98
2016;China;East;Fruits;15.28;1245.22;23.27;2.493;9;19.55;32.82;85.52;65.86;Drought-resistant Crops;645.07
2014;USA;Northeast;Rice;2.22;655.18;18.08;0.7020000000000001;3;40.7;19.8;33.1;64.71;Drought-resistant Crops;130.35
2016;USA;West;Soybeans;11.83;1441.42;3.67;3.93;0;50.58;43.64;68.54;87.92;Organic Farming;897.39
2018;Nigeria;South East;Cotton;5.88;1455.18;15.81;1.872;3;87.38;33.69;70.83;88.41;Organic Farming;257.89
2016;Nigeria;North Central;Barley;-4.11;371.97;10.13;1.2060000000000002;8;56.13;26.53;84.38;44.57;Crop Rotation;142.01
2020;Australia;New South Wales;Corn;27.68;771.85;6.97;3.47;1;82.08;42.14;42.08;71.12;Drought-resistant Crops;1632.66
2022;China;North;Soybeans;30.6;1290.41;2.05;2.18;0;56.6;10.0;80.11;37.87;No Adaptation;738.44
2020;China;South;Fruits;-2.91;328.63;0.71;1.575;4;15.5;37.15;77.4;88.43;Crop Rotation;481.79
2024;Nigeria;North West;Soybeans;28.31;2072.82;13.25;0.96;6;83.7;39.43;74.48;49.53;Water Management;413.08
2024;China;East;Cotton;14.87;2438.42;10.33;1.53;9;41.35;42.53;62.65;86.53;Water Management;674.23
2024;USA;Northeast;Rice;31.51;2360.04;21.58;1.2240000000000002;5;45.83;9.1;24.34;35.09;Organic Farming;583.94
2018;China;Central;Vegetables;34.68;940.52;3.71;2.4;10;36.87;37.46;60.96;74.39;Water Management;291.22
2016;Australia;New South Wales;Coffee;-4.09;726.14;18.38;1.863;1;71.03;43.03;20.6;42.38;Organic Farming;424.92
2020;Nigeria;North Central;Wheat;6.91;1539.0;8.12;0.75;8;91.27;43.47;78.06;46.9;Crop Rotation;285.75
2016;China;South;Barley;21.19;2398.46;2.84;1.95;7;85.05;15.49;49.46;65.46;Crop Rotation;402.05
2022;USA;South;Barley;16.49;433.9;10.35;4.032000000000001;6;59.75;14.12;21.75;61.44;Organic Farming;894.3
2024;USA;West;Soybeans;32.01;1376.8;24.06;3.483;9;78.6;37.95;93.82;76.32;Water Management;837.02
2022;Australia;Western Australia;Cotton;27.18;2273.52;8.79;1.04;3;43.61;44.44;12.26;46.59;Drought-resistant Crops;226.88
2014;Russia;Volga;Wheat;12.84;1758.43;1.57;3.71;5;11.9;4.14;34.36;95.16;Water Management;1081.97
2014;China;South;Cotton;23.47;1978.18;22.41;2.646;7;52.9;24.47;32.95;72.1;Water Management;1122.95
2024;Russia;Volga;Sugarcane;1.54;1615.26;4.0;2.26;6;22.71;9.63;38.63;30.65;Drought-resistant Crops;391.41
2018;Australia;Victoria;Soybeans;27.78;2725.12;5.6;3.37;5;54.36;9.6;52.34;89.9;No Adaptation;1391.18
2014;Australia;Victoria;Fruits;15.72;1450.85;28.3;3.015;2;97.67;42.81;72.05;56.63;Drought-resistant Crops;715.12
2016;Nigeria;South East;Sugarcane;19.1;705.94;1.06;1.51;2;89.98;41.26;72.19;52.67;No Adaptation;228.5
2024;Nigeria;North West;Wheat;15.34;2627.5;22.28;2.385;4;48.09;33.23;12.24;70.9;Crop Rotation;398.37
2024;Australia;New South Wales;Sugarcane;11.03;540.29;28.98;3.708;0;83.32;29.63;56.76;57.24;Water Management;1102.6
2016;Australia;Victoria;Vegetables;11.98;1056.55;25.96;1.683;3;98.08;36.85;40.53;53.9;Water Management;189.14
2018;Russia;Volga;Corn;1.02;515.96;6.49;1.37;3;23.06;27.73;39.67;40.42;No Adaptation;576.75
2016;China;North;Cotton;5.1;1424.27;10.38;2.92;2;33.15;39.1;67.71;86.36;No Adaptation;764.66
2024;Brazil;North;Coffee;1.23;2808.0;6.0;1.27;6;28.08;23.78;96.56;92.28;Drought-resistant Crops;251.95
2018;Russia;Siberian;Soybeans;1.88;1104.12;20.36;738;4;88.93;46.19;56.68;51.89;Organic Farming;248.73
2018;Nigeria;North West;Rice;29.94;2911.22;1.12;2.66;2;67.16;14.77;71.49;65.91;Drought-resistant Crops;831.51
2018;Russia;Volga;Rice;5.63;429.44;9.07;2.574;10;25.93;11.1;98.29;64.5;Crop Rotation;1093.04
2020;Nigeria;South East;Cotton;6.5;1695.14;11.52;2.69;6;13.74;25.97;77.03;80.43;No Adaptation;596.78
2020;Brazil;Southeast;Fruits;25.44;1769.31;20.17;3.2760000000000002;1;39.69;46.95;78.17;87.01;Water Management;1031.82
2018;Nigeria;South West;Fruits;12.65;1778.77;24.25;3.546;1;37.69;34.73;12.98;56.53;Drought-resistant Crops;1622.18
2018;Nigeria;North Central;Wheat;-2.7;2723.06;18.65;1.314;8;74.55;19.91;48.69;88.77;Crop Rotation;326.1
2018;China;South;Fruits;21.23;1065.88;10.17;2.9;3;51.48;17.1;7.12;36.38;Water Management;1250.57
2022;USA;South;Coffee;22.73;1129.39;24.85;2.043;9;92.39;38.82;84.67;96.69;Crop Rotation;777.55
2022;Australia;Victoria;Soybeans;2.68;545.42;23.16;1.449;8;51.49;49.47;73.76;48.16;Water Management;235.21
2018;Nigeria;North Central;Sugarcane;24.46;2080.82;21.22;2.52;6;43.02;47.09;8.95;67.63;No Adaptation;781.35
2024;China;East;Fruits;15.85;339.88;6.45;3.159;10;22.61;27.71;31.54;77.08;Drought-resistant Crops;695.17
2014;Nigeria;South East;Corn;18.83;2614.9;15.13;3.168;4;61.49;29.88;53.89;72.28;Organic Farming;1057.79
2018;China;Central;Rice;8.93;2656.19;8.49;2.96;0;23.39;26.01;54.98;50.48;Organic Farming;821.47
2022;USA;South;Cotton;28.66;1361.1;24.51;3.096;0;12.7;10.58;20.32;93.49;Crop Rotation;389.42
2022;Nigeria;South East;Rice;28.28;2404.62;1.06;3.52;8;57.79;22.56;29.9;80.69;Water Management;1202.7
2018;Australia;Victoria;Vegetables;-1.52;2909.45;22.49;1.521;2;40.74;24.97;23.61;77.46;No Adaptation;741.8
2022;Australia;Queensland;Corn;-2.81;1597.86;2.32;1.92;1;18.52;7.68;86.47;95.51;Water Management;708.32
2016;China;South;Sugarcane;28.69;2276.92;15.09;1.836;2;54.07;8.81;8.24;48.33;No Adaptation;369.87
2022;Brazil;South;Vegetables;15.38;2365.25;22.4;3.9600000000000004;6;14.82;18.06;26.38;76.4;No Adaptation;988.26
2014;China;South;Vegetables;-4.32;2767.76;10.27;1.94;8;73.43;18.56;7.39;36.41;No Adaptation;433.87
2022;Brazil;Southeast;Rice;20.67;2672.82;12.6;3.66;3;49.66;2.04;78.79;68.92;Water Management;893.68
2016;Australia;Victoria;Sugarcane;22.75;2117.48;25.73;2.574;5;46.0;36.9;11.64;83.55;Organic Farming;580.58
2020;Brazil;Northeast;Rice;6.02;2141.14;18.0;2.502;1;74.0;4.71;96.73;61.39;Water Management;381.25
2018;Russia;Northwestern;Corn;7.8;1923.69;28.8;0.9630000000000001;1;98.58;24.2;8.35;39.45;Crop Rotation;280.28
2016;USA;Midwest;Fruits;17.35;2700.83;29.52;1.953;4;54.07;22.25;59.98;62.86;No Adaptation;283.07
2016;China;Central;Coffee;13.34;593.98;28.4;2.6910000000000003;1;20.5;37.46;22.01;95.61;Drought-resistant Crops;363.34
2014;Nigeria;North West;Corn;32.31;881.06;22.01;2.007;5;35.6;38.3;89.6;78.13;Crop Rotation;717.21
2014;Nigeria;North Central;Cotton;16.92;2979.54;12.18;4.21;1;91.55;25.69;14.07;38.97;Crop Rotation;1276.87
2024;Australia;Queensland;Vegetables;4.22;2296.02;28.38;864;2;48.66;30.05;2.19;78.6;Water Management;316.56
2024;Russia;Siberian;Vegetables;18.42;200.45;18.05;1.494;5;71.71;26.4;42.96;48.61;No Adaptation;478.94
2020;Russia;Northwestern;Sugarcane;13.35;304.64;16.12;3.9240000000000004;8;34.77;33.29;44.96;74.67;Organic Farming;1864.02
2014;USA;West;Cotton;28.92;1802.49;10.13;2.5;1;96.3;41.75;41.66;78.21;Drought-resistant Crops;1092.06
2022;China;Central;Fruits;10.29;1665.74;26.86;4.149;5;17.82;41.37;4.65;56.38;Drought-resistant Crops;1190.55
2024;Brazil;Southeast;Soybeans;31.96;229.81;11.25;2.241;7;35.64;1.12;4.67;49.0;Water Management;495.43
2018;Nigeria;South West;Barley;12.64;484.8;14.71;2.898;3;70.68;36.22;86.79;86.23;Drought-resistant Crops;810.69
2022;Russia;Central;Wheat;18.8;1261.62;6.68;4.87;6;53.17;37.58;48.45;85.18;Water Management;1547.07
2018;USA;Northeast;Corn;25.76;1406.84;1.59;1.92;1;45.05;21.66;62.14;92.98;Water Management;932.2
2014;Russia;Siberian;Soybeans;-2.88;1768.36;1.93;2.28;10;63.2;36.57;3.99;61.15;Organic Farming;1062.19
2020;China;South;Sugarcane;5.01;2397.23;2.66;1.55;6;95.23;44.83;39.34;89.57;Water Management;665.97
2020;Russia;Northwestern;Cotton;25.39;1201.81;20.58;2.736;4;73.04;8.96;59.02;34.02;Crop Rotation;1078.87
2024;USA;West;Barley;-2.83;2985.78;8.15;1.43;6;79.55;37.52;56.24;57.82;No Adaptation;156.65
2018;Russia;Northwestern;Vegetables;0.23;2330.25;21.17;1.647;5;14.62;3.12;57.77;59.62;Crop Rotation;725.05
2022;Nigeria;North Central;Barley;8.72;2952.33;2.33;1.85;10;85.76;42.34;61.34;98.3;Water Management;616.6
2018;China;East;Cotton;26.35;552.45;5.08;2.87;9;30.22;47.26;76.26;69.05;Organic Farming;731.9
2016;Nigeria;South West;Sugarcane;10.45;800.02;19.32;3.9330000000000003;4;92.02;1.69;73.58;48.19;Crop Rotation;1603.57
2014;Nigeria;North West;Rice;15.67;2698.2;2.76;3.32;1;48.03;29.22;39.06;67.64;No Adaptation;1103.82
2020;China;East;Corn;21.22;2799.48;27.79;1.845;8;71.27;47.47;36.78;42.56;No Adaptation;503.69
2016;Russia;Northwestern;Fruits;32.93;2457.49;4.63;3.94;6;63.87;33.82;29.49;43.49;Crop Rotation;739.3
2022;Nigeria;South East;Barley;10.35;582.59;14.68;3.17;10;99.65;40.87;38.59;34.1;Drought-resistant Crops;1156.62
2016;Nigeria;North West;Sugarcane;9.24;315.51;4.66;0.7020000000000001;5;68.67;25.96;62.63;38.17;Water Management;349.96
2014;China;North;Cotton;24.42;1490.74;19.6;1.8;0;45.75;44.19;17.03;98.07;Organic Farming;752.3
2016;USA;Northeast;Vegetables;-0.47;1331.22;17.0;792;1;69.03;0.31;47.74;31.89;Crop Rotation;121.01
2018;Brazil;Southeast;Fruits;29.43;924.45;4.39;3.17;5;47.45;8.28;1.11;49.13;Organic Farming;556.96
2014;Australia;New South Wales;Corn;16.08;405.73;4.51;3.528;4;57.71;21.71;69.67;53.0;Crop Rotation;1335.06
2022;Australia;Queensland;Fruits;-3.86;1958.5;7.23;1.04;8;21.93;23.32;52.22;79.22;Organic Farming;432.2
2014;China;North;Barley;26.49;2455.91;17.42;2.367;8;23.98;24.91;30.22;59.42;Water Management;418.94
2018;Brazil;Northeast;Cotton;10.55;620.36;5.81;3.47;9;20.94;23.14;36.81;95.66;Organic Farming;911.96
2022;Brazil;South;Cotton;5.67;1094.92;5.83;1.21;8;73.31;3.44;13.33;31.6;Water Management;366.4
2014;USA;West;Vegetables;-0.37;2652.23;15.55;2.331;4;98.36;16.02;42.11;42.77;Drought-resistant Crops;579.49
2016;Russia;Volga;Rice;8.19;2188.12;14.67;2.9;8;66.0;42.57;18.46;75.59;Organic Farming;925.53
2014;USA;Northeast;Sugarcane;-0.86;1632.32;12.77;1.01;8;41.61;34.16;40.76;40.9;Drought-resistant Crops;354.04
2022;USA;South;Fruits;24.97;2619.65;14.83;3.62;9;82.02;43.42;37.87;73.86;No Adaptation;481.28
2022;Russia;Siberian;Corn;6.98;907.92;10.04;1.91;10;50.58;15.59;69.26;51.81;No Adaptation;606.18
2016;Australia;Queensland;Vegetables;33.26;1799.75;6.91;3.06;9;84.26;27.78;71.84;87.18;Organic Farming;347.36
2024;Brazil;Southeast;Coffee;6.55;2286.86;6.95;1.19;6;74.84;10.79;34.09;70.13;Organic Farming;590.1
2020;Nigeria;South West;Wheat;22.22;633.52;11.33;3.57;5;67.38;2.79;44.33;72.94;Organic Farming;1687.79
2022;China;South;Barley;34.65;2695.49;16.61;2.2769999999999997;8;97.57;48.36;24.19;35.64;Crop Rotation;672.08
2022;Russia;Siberian;Coffee;31.5;377.78;19.62;2.763;10;70.27;35.84;87.12;50.23;Organic Farming;997.82
2018;Nigeria;North West;Coffee;3.73;2218.48;24.75;1.989;2;44.5;3.16;90.5;57.21;Organic Farming;507.36
