climate_change_impact_on_agriculture_2024;;;;;;;;;;
Year;Country;Region;Crop_Type;Average_Temperature_C;Total_Precipitation_mm;CO2_Emissions_MT;Crop_Yield_MT_per_HA;Extreme_Weather_Events;Irrigation_Access_%;Soil_Health_Index
2024;Nigeria;South East;Cotton;Tem.79;269.37;18.54;17.009.999.999.999.900;6;97.24;66.89
2024;USA;Midwest;Vegetables;-1.01;1533.25;25.29;1.557;5;70.17;35.55
2024;Nigeria;South East;Soybeans;-1.73;2874.97;18.86;0.5670000000000001;3;69.12;49.08
2024;Australia;Western Australia;Sugarcane;14.46;1739.05;24.46;Oca.71;10;84.76;62.91
2016;Russia;Siberian;Sugarcane;13.48;2518.41;28.38;2.556;2;78.78;67.82
2022;Nigeria;North Central;Rice;Nis.34;2484.36;0.52;Oca.32;5;92.1;84.99
2020;China;Central;Sugarcane;-3.27;1596.69;23.69;522;10;26.53;46.75
2016;Russia;Volga;Corn;22.16;852.26;Ara.31;3.Oca;6;78.85;73.89
2016;Russia;Volga;Vegetables;-0.43;916.19;Kas.19;Oca.81;4;95.25;33.0
2024;Nigeria;South West;Barley;4.0;1449.75;0.89;Şub.69;5;96.84;78.43
2024;USA;Midwest;Coffee;22.Tem;1091.1;Eyl.21;Oca.13;9;50.83;40.65
2024;Australia;Victoria;Cotton;-3.85;378.13;Şub.78;2.394;10;64.24;50.01
2016;China;East;Fruits;15.28;1245.22;23.27;2.493;9;19.55;65.86
2014;USA;Northeast;Rice;Şub.22;655.18;18.Ağu;0.7020000000000001;3;40.7;64.71
2016;USA;West;Soybeans;Kas.83;1441.42;Mar.67;Mar.93;0;50.58;87.92
2018;Nigeria;South East;Cotton;May.88;1455.18;15.81;1.872;3;87.38;88.41
2016;Nigeria;North Central;Barley;-4.11;371.97;Eki.13;12.060.000.000.000.000;8;56.13;44.57
2020;Australia;New South Wales;Corn;27.68;771.85;Haz.97;Mar.47;1;82.08;71.12
2022;China;North;Soybeans;30.Haz;1290.41;2.May;Şub.18;0;56.6;37.87
2020;China;South;Fruits;-2.91;328.63;0.71;1.575;4;15.May;88.43
2024;Nigeria;North West;Soybeans;28.31;2072.82;13.25;0.96;6;83.7;49.53
2024;China;East;Cotton;14.87;2438.42;Eki.33;Oca.53;9;41.35;86.53
2024;USA;Northeast;Rice;31.51;2360.04;21.58;12.240.000.000.000.000;5;45.83;35.09
2018;China;Central;Vegetables;34.68;940.52;Mar.71;2.Nis;10;36.87;74.39
2016;Australia;New South Wales;Coffee;-4.09;726.14;18.38;1.863;1;71.03;42.38
2020;Nigeria;North Central;Wheat;Haz.91;1539.0;8.Ara;0.75;8;91.27;46.9
2016;China;South;Barley;21.19;2398.46;Şub.84;Oca.95;7;85.05;65.46
2022;USA;South;Barley;16.49;433.9;Eki.35;4.032.000.000.000.000;6;59.75;61.44
2024;USA;West;Soybeans;32.01;1376.8;24.Haz;3.483;9;78.6;76.32
2022;Australia;Western Australia;Cotton;27.18;2273.52;Ağu.79;1.Nis;3;43.61;46.59
2014;Russia;Volga;Wheat;Ara.84;1758.43;Oca.57;Mar.71;5;11.Eyl;95.16
2014;China;South;Cotton;23.47;1978.18;22.41;2.646;7;52.9;72.1
2024;Russia;Volga;Sugarcane;Oca.54;1615.26;4.0;Şub.26;6;22.71;30.65
2018;Australia;Victoria;Soybeans;27.78;2725.12;5.Haz;Mar.37;5;54.36;89.9
2014;Australia;Victoria;Fruits;15.72;1450.85;28.Mar;3.015;2;97.67;56.63
2016;Nigeria;South East;Sugarcane;19.Oca;705.94;1.Haz;Oca.51;2;89.98;52.67
2024;Nigeria;North West;Wheat;15.34;2627.5;22.28;2.385;4;48.09;70.9
2024;Australia;New South Wales;Sugarcane;11.Mar;540.29;28.98;3.708;0;83.32;57.24
2016;Australia;Victoria;Vegetables;Kas.98;1056.55;25.96;1.683;3;98.08;53.9
2018;Russia;Volga;Corn;1.Şub;515.96;Haz.49;Oca.37;3;23.Haz;40.42
2016;China;North;Cotton;5.Oca;1424.27;Eki.38;Şub.92;2;33.15;86.36
2024;Brazil;North;Coffee;Oca.23;2808.0;6.0;Oca.27;6;28.Ağu;92.28
2018;Russia;Siberian;Soybeans;Oca.88;1104.12;20.36;738;4;88.93;51.89
2018;Nigeria;North West;Rice;29.94;2911.22;1.Ara;Şub.66;2;67.16;65.91
2018;Russia;Volga;Rice;May.63;429.44;9.Tem;2.574;10;25.93;64.5
2020;Nigeria;South East;Cotton;6.May;1695.14;Kas.52;Şub.69;6;13.74;80.43
2020;Brazil;Southeast;Fruits;25.44;1769.31;20.17;32.760.000.000.000.000;1;39.69;87.01
2018;Nigeria;South West;Fruits;Ara.65;1778.77;24.25;3.546;1;37.69;56.53
2018;Nigeria;North Central;Wheat;-2.7;2723.06;18.65;1.314;8;74.55;88.77
2018;China;South;Fruits;21.23;1065.88;Eki.17;2.Eyl;3;51.48;36.38
2022;USA;South;Coffee;22.73;1129.39;24.85;2.043;9;92.39;96.69
2022;Australia;Victoria;Soybeans;Şub.68;545.42;23.16;1.449;8;51.49;48.16
2018;Nigeria;North Central;Sugarcane;24.46;2080.82;21.22;Şub.52;6;43.02;67.63
2024;China;East;Fruits;15.85;339.88;Haz.45;3.159;10;22.61;77.08
2014;Nigeria;South East;Corn;18.83;2614.9;15.13;3.168;4;61.49;72.28
2018;China;Central;Rice;Ağu.93;2656.19;Ağu.49;Şub.96;0;23.39;50.48
2022;USA;South;Cotton;28.66;1361.1;24.51;3.096;0;12.Tem;93.49
2022;Nigeria;South East;Rice;28.28;2404.62;1.Haz;Mar.52;8;57.79;80.69
2018;Australia;Victoria;Vegetables;-1.52;2909.45;22.49;1.521;2;40.74;77.46
2022;Australia;Queensland;Corn;-2.81;1597.86;Şub.32;Oca.92;1;18.52;95.51
2016;China;South;Sugarcane;28.69;2276.92;15.Eyl;1.836;2;54.07;48.33
2022;Brazil;South;Vegetables;15.38;2365.25;22.Nis;39.600.000.000.000.000;6;14.82;76.4
2014;China;South;Vegetables;-4.32;2767.76;Eki.27;Oca.94;8;73.43;36.41
2022;Brazil;Southeast;Rice;20.67;2672.82;12.Haz;Mar.66;3;49.66;68.92
2016;Australia;Victoria;Sugarcane;22.75;2117.48;25.73;2.574;5;46.0;83.55
2020;Brazil;Northeast;Rice;6.Şub;2141.14;18.0;2.502;1;74.0;61.39
2018;Russia;Northwestern;Corn;7.Ağu;1923.69;28.Ağu;0.9630000000000001;1;98.58;39.45
2016;USA;Midwest;Fruits;17.35;2700.83;29.52;1.953;4;54.07;62.86
2016;China;Central;Coffee;13.34;593.98;28.Nis;26.910.000.000.000.000;1;20.May;95.61
2014;Nigeria;North West;Corn;32.31;881.06;22.Oca;2.007;5;35.6;78.13
2014;Nigeria;North Central;Cotton;16.92;2979.54;Ara.18;Nis.21;1;91.55;38.97
2024;Australia;Queensland;Vegetables;Nis.22;2296.02;28.38;864;2;48.66;78.6
2024;Russia;Siberian;Vegetables;18.42;200.45;18.May;1.494;5;71.71;48.61
2020;Russia;Northwestern;Sugarcane;13.35;304.64;16.Ara;39.240.000.000.000.000;8;34.77;74.67
2014;USA;West;Cotton;28.92;1802.49;Eki.13;2.May;1;96.3;78.21
2022;China;Central;Fruits;Eki.29;1665.74;26.86;4.149;5;17.82;56.38
2024;Brazil;Southeast;Soybeans;31.96;229.81;Kas.25;2.241;7;35.64;49.0
2018;Nigeria;South West;Barley;Ara.64;484.8;14.71;2.898;3;70.68;86.23
2022;Russia;Central;Wheat;18.Ağu;1261.62;Haz.68;Nis.87;6;53.17;85.18
2018;USA;Northeast;Corn;25.76;1406.84;Oca.59;Oca.92;1;45.05;92.98
2014;Russia;Siberian;Soybeans;-2.88;1768.36;Oca.93;Şub.28;10;63.2;61.15
2020;China;South;Sugarcane;5.Oca;2397.23;Şub.66;Oca.55;6;95.23;89.57
2020;Russia;Northwestern;Cotton;25.39;1201.81;20.58;2.736;4;73.04;34.02
2024;USA;West;Barley;-2.83;2985.78;Ağu.15;Oca.43;6;79.55;57.82
2018;Russia;Northwestern;Vegetables;0.23;2330.25;21.17;1.647;5;14.62;59.62
2022;Nigeria;North Central;Barley;Ağu.72;2952.33;Şub.33;Oca.85;10;85.76;98.3
2018;China;East;Cotton;26.35;552.45;5.Ağu;Şub.87;9;30.22;69.05
2016;Nigeria;South West;Sugarcane;Eki.45;800.02;19.32;39.330.000.000.000.000;4;92.02;48.19
2014;Nigeria;North West;Rice;15.67;2698.2;Şub.76;Mar.32;1;48.03;67.64
2020;China;East;Corn;21.22;2799.48;27.79;1.845;8;71.27;42.56
2016;Russia;Northwestern;Fruits;32.93;2457.49;Nis.63;Mar.94;6;63.87;43.49
2022;Nigeria;South East;Barley;Eki.35;582.59;14.68;Mar.17;10;99.65;34.1
2016;Nigeria;North West;Sugarcane;Eyl.24;315.51;Nis.66;0.7020000000000001;5;68.67;38.17
2014;China;North;Cotton;24.42;1490.74;19.Haz;1.Ağu;0;45.75;98.07
2016;USA;Northeast;Vegetables;-0.47;1331.22;17.0;792;1;69.03;31.89
2018;Brazil;Southeast;Fruits;29.43;924.45;Nis.39;Mar.17;5;47.45;49.13
2014;Australia;New South Wales;Corn;16.Ağu;405.73;Nis.51;3.528;4;57.71;53.0
2022;Australia;Queensland;Fruits;-3.86;1958.5;Tem.23;1.Nis;8;21.93;79.22
2014;China;North;Barley;26.49;2455.91;17.42;2.367;8;23.98;59.42
2018;Brazil;Northeast;Cotton;Eki.55;620.36;May.81;Mar.47;9;20.94;95.66
2022;Brazil;South;Cotton;May.67;1094.92;May.83;Oca.21;8;73.31;31.6
2014;USA;West;Vegetables;-0.37;2652.23;15.55;2.331;4;98.36;42.77
2016;Russia;Volga;Rice;Ağu.19;2188.12;14.67;2.Eyl;8;66.0;75.59
2014;USA;Northeast;Sugarcane;-0.86;1632.32;Ara.77;1.Oca;8;41.61;40.9
2022;USA;South;Fruits;24.97;2619.65;14.83;Mar.62;9;82.02;73.86
2022;Russia;Siberian;Corn;Haz.98;907.92;10.Nis;Oca.91;10;50.58;51.81
2016;Australia;Queensland;Vegetables;33.26;1799.75;Haz.91;3.Haz;9;84.26;87.18
2024;Brazil;Southeast;Coffee;Haz.55;2286.86;Haz.95;Oca.19;6;74.84;70.13
2020;Nigeria;South West;Wheat;22.22;633.52;Kas.33;Mar.57;5;67.38;72.94
2022;China;South;Barley;34.65;2695.49;16.61;22.769.999.999.999.900;8;97.57;35.64
2022;Russia;Siberian;Coffee;31.May;377.78;19.62;2.763;10;70.27;50.23
2018;Nigeria;North West;Coffee;Mar.73;2218.48;24.75;1.989;2;44.5;57.21
2022;China;Central;Sugarcane;-1.35;2627.57;22.16;0.7020000000000001;7;23.95;52.82
2014;USA;West;Sugarcane;Eki.33;814.12;20.May;24.480.000.000.000.000;8;53.84;73.45
2022;Australia;New South Wales;Vegetables;-1.59;233.62;Nis.47;22.230.000.000.000.000;5;56.09;32.05
2018;Russia;Central;Cotton;-3.55;1133.72;26.37;0.9720000000000001;1;40.64;98.02
2018;Nigeria;North West;Vegetables;17.73;1183.14;14.23;Şub.36;5;35.83;75.51
2016;Australia;New South Wales;Rice;24.36;2407.75;29.16;2.538;9;25.59;64.75
2024;USA;West;Soybeans;18.69;1341.57;16.33;3.087;1;29.67;58.66
2014;Australia;New South Wales;Wheat;-4.01;2315.25;22.34;1.161;4;95.29;85.83
2020;China;East;Vegetables;26.15;437.68;0.9;1.368;2;Ara.17;53.89
2022;USA;West;Rice;14.Ağu;288.85;Ağu.21;19.800.000.000.000.000;5;99.41;46.78
2014;Australia;Victoria;Corn;-1.18;2353.82;28.88;18.900.000.000.000.000;7;76.69;98.64
2016;Russia;Volga;Sugarcane;-3.19;2964.71;16.59;1.359;1;21.Ağu;52.47
2016;Russia;Central;Vegetables;30.66;1917.38;26.Mar;16.740.000.000.000.000;6;29.73;75.05
2016;USA;Midwest;Rice;15.61;2082.6;Mar.65;Mar.21;5;60.83;49.04
2020;Nigeria;South West;Coffee;22.42;1163.26;Ara.51;Oca.34;5;Eki.53;51.13
2016;USA;West;Rice;Kas.95;1772.98;Kas.27;Mar.66;2;18.71;71.04
2024;Australia;Western Australia;Corn;30.17;2210.97;Ağu.25;Mar.15;5;61.37;49.25
2022;Nigeria;North Central;Sugarcane;-2.56;903.36;23.15;19.980.000.000.000.000;9;51.75;70.8
2018;Russia;Northwestern;Vegetables;Kas.82;1551.71;26.May;3.519;7;28.Ara;39.68
2020;USA;Northeast;Soybeans;26.36;2693.53;28.Eyl;3.177;6;91.78;75.53
2016;Nigeria;North Central;Corn;30.46;337.9;28.22;2.943;0;19.31;48.14
2024;China;North;Rice;13.38;841.74;3.Kas;Şub.56;1;16.27;74.88
2016;Brazil;Southeast;Fruits;0.31;2521.38;29.58;2.Tem;3;19.14;43.73
2014;Australia;Victoria;Soybeans;-1.62;2667.6;Kas.41;1.Haz;2;72.67;74.25
2022;Russia;Central;Fruits;22.98;2281.57;Ağu.17;Şub.97;2;53.67;77.59
2024;Australia;Queensland;Wheat;-4.68;300.85;Nis.89;2.556;6;33.19;62.45
2024;Australia;Queensland;Sugarcane;Eyl.66;2478.74;22.Haz;1.359;3;59.56;64.65
2024;Russia;Central;Barley;24.Eyl;1567.3;13.95;Oca.63;0;37.43;55.3
2024;Brazil;Northeast;Rice;Ağu.62;2489.88;17.56;2.466;8;50.21;82.25
2022;China;East;Fruits;15.91;1334.58;Mar.48;Şub.15;9;32.59;68.55
2014;USA;Midwest;Barley;31.41;523.42;4.Eyl;Oca.99;9;14.Tem;31.29
2024;Russia;Central;Coffee;Oca.17;1852.82;Şub.73;Oca.36;7;58.95;81.07
2020;Russia;Northwestern;Fruits;32.09;2383.16;24.21;34.019.999.999.999.900;10;91.5;40.58
2018;Brazil;Northeast;Corn;-1.94;2844.7;28.Şub;1.179;8;40.19;30.Mar
2016;Nigeria;North West;Vegetables;Mar.41;1562.94;22.36;765;9;52.36;54.62
2024;Brazil;South;Coffee;29.Nis;787.42;14.Oca;1.Tem;3;31.Ağu;53.82
2020;Brazil;North;Soybeans;25.21;2000.89;13.49;0.96;3;63.15;42.02
2020;China;South;Soybeans;May.71;1960.41;15.54;22.230.000.000.000.000;10;78.69;77.18
2022;China;South;Fruits;Ara.34;2369.78;22.Şub;19.260.000.000.000.000;4;64.46;48.92
2022;USA;Northeast;Barley;17.82;2902.3;21.15;Nis.32;10;37.27;48.73
2014;Russia;Siberian;Barley;Kas.72;508.99;13.77;Mar.32;9;Kas.97;43.49
2014;Nigeria;South West;Corn;20.Şub;1119.33;Tem.26;Oca.97;7;92.48;59.84
2020;USA;Midwest;Rice;26.Haz;803.55;Şub.56;Oca.68;2;22.53;45.34
2018;Nigeria;North West;Fruits;32.07;481.07;Nis.88;33.930.000.000.000.000;9;63.53;90.46
2024;Brazil;Southeast;Cotton;23.78;2254.27;13.77;Şub.93;3;41.34;62.12
2014;Nigeria;North West;Cotton;May.73;1046.09;28.26;2.502;8;19.24;96.6
2018;Australia;Western Australia;Vegetables;19.99;1110.61;0.85;Oca.69;8;28.88;74.21
2018;Russia;Siberian;Rice;Tem.27;588.9;24.41;19.980.000.000.000.000;5;73.02;57.67
2024;Russia;Siberian;Rice;Kas.79;1737.96;19.32;2.205;2;97.06;41.05
2014;China;North;Soybeans;14.96;1013.04;6.Haz;Oca.55;8;40.52;63.06
2014;Russia;Central;Rice;-0.09;749.58;5.Oca;Şub.77;2;58.68;85.9
2016;Nigeria;South East;Cotton;18.42;520.38;13.35;3.Haz;10;69.0;49.25
2016;Australia;New South Wales;Fruits;22.May;366.04;16.69;864;2;76.75;39.44
2016;Brazil;Northeast;Sugarcane;24.78;881.98;28.33;1.827;10;17.Ağu;77.17
2018;Brazil;Northeast;Cotton;34.52;2629.77;Kas.69;Mar.33;0;79.33;42.33
2016;Nigeria;South East;Barley;-1.26;793.7;24.39;1.512;5;23.77;65.22
2022;Brazil;North;Soybeans;34.71;2572.78;6.Kas;Oca.71;9;21.57;47.83
2018;China;Central;Barley;32.31;513.33;23.36;2.097;1;34.76;69.82
2024;China;North;Cotton;May.51;2455.98;19.83;1.143;4;92.75;40.27
2022;Brazil;Southeast;Cotton;-4.33;2647.66;Mar.84;1.Ağu;3;14.97;66.92
2014;USA;Northeast;Corn;Tem.39;2697.51;Ağu.53;Oca.31;0;93.55;76.76
2016;China;South;Rice;Nis.31;1241.16;Tem.66;1.Şub;7;79.38;95.94
2018;Nigeria;North West;Corn;31.35;2452.42;15.Şub;1.278;9;59.67;93.15
2014;China;South;Barley;16.82;1408.99;24.32;2.835;8;45.98;83.6
2022;Russia;Volga;Corn;6.May;1954.63;13.23;0.58;4;23.44;38.81
2020;Nigeria;North Central;Soybeans;15.24;2682.21;23.18;3.357;7;72.88;37.09
2022;Nigeria;South East;Rice;Nis.53;609.33;21.82;1.593;3;66.24;71.56
2024;Russia;Volga;Wheat;14.22;752.67;Oca.73;Mar.81;1;68.97;47.02
2020;Russia;Central;Corn;Kas.24;1518.73;Nis.47;Şub.43;3;88.55;59.61
2014;Australia;New South Wales;Coffee;Eyl.71;1153.52;Eki.93;Oca.17;7;74.31;88.03
2018;China;South;Barley;31.42;769.28;26.79;765;7;40.42;47.57
2022;China;North;Corn;31.Ara;2909.47;28.61;3.285;8;53.95;67.98
2024;Nigeria;North Central;Wheat;Eki.71;2882.81;Tem.83;2.Haz;1;97.4;38.13
2016;Australia;Western Australia;Soybeans;Ara.23;1502.53;Haz.18;1.Tem;9;59.67;46.82
2014;Nigeria;South West;Barley;Mar.27;1067.25;Eyl.32;0.53;1;38.68;67.78
2016;Nigeria;South West;Vegetables;33.67;2160.96;11.Şub;Mar.33;3;19.31;34.08
2016;USA;Midwest;Wheat;34.18;1201.46;13.53;Oca.66;9;83.88;88.31
